GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mercado,br.ufpb.dsc.mercado.config,SecurityConfig,0,85,0,0,0,17,0,8,0,8
mercado,br.ufpb.dsc.mercado.config,GlobalModelAttributes,0,6,0,0,0,2,0,2,0,2
mercado,br.ufpb.dsc.mercado.config,WebConfig,0,12,0,0,0,5,0,2,0,2
mercado,br.ufpb.dsc.mercado.config,HtmxToastInterceptor,0,40,2,6,0,8,2,4,0,2
mercado,br.ufpb.dsc.mercado.service,DashboardService,14,9,0,0,3,4,3,1,3,1
mercado,br.ufpb.dsc.mercado.service,ChamadoService,221,12,22,0,36,5,21,1,10,1
mercado,br.ufpb.dsc.mercado.service,AtivoService,12,89,1,3,2,24,2,8,1,7
mercado,br.ufpb.dsc.mercado.service,UserDetailsServiceImpl,17,6,0,0,3,3,2,1,2,1
mercado,br.ufpb.dsc.mercado.controller,ChamadoController,386,12,20,0,69,5,21,1,11,1
mercado,br.ufpb.dsc.mercado.controller,PingController,9,3,0,0,2,1,1,1,1,1
mercado,br.ufpb.dsc.mercado.controller,AuthController,2,3,0,0,1,1,1,1,1,1
mercado,br.ufpb.dsc.mercado.controller,AtivoController,71,129,3,3,15,33,4,7,2,6
mercado,br.ufpb.dsc.mercado.controller,HomeController,26,6,0,0,4,3,1,1,1,1
mercado,br.ufpb.dsc.mercado.domain,Ativo,16,80,2,2,5,26,5,15,3,15
mercado,br.ufpb.dsc.mercado.domain,Usuario,91,3,6,0,29,2,22,1,19,1
mercado,br.ufpb.dsc.mercado.domain,Chamado,133,9,8,0,39,4,27,1,23,1
mercado,br.ufpb.dsc.mercado.exception,ChamadoNaoEncontradoException,9,0,0,0,4,0,2,0,2,0
mercado,br.ufpb.dsc.mercado.exception,AtivoNaoEncontradoException,4,5,0,0,2,2,1,1,1,1
mercado,br.ufpb.dsc.mercado,MercadoApplication,5,3,0,0,2,1,1,1,1,1
mercado,br.ufpb.dsc.mercado.dto,ChamadoForm,24,0,0,0,1,0,1,0,1,0
mercado,br.ufpb.dsc.mercado.dto,AtivoForm,0,15,0,0,0,1,0,1,0,1
